model,square,round,hypothesis,config,val_MAE,val_RMSE,val_MAPE_%,val_WAPE_%,train_s,epochs,best_epoch,n_params,converged
TCN,5161,2,Capacity (number of filters per layer),"{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""filters"": 64, ""kernel"": 3, ""levels"": 6, ""lr"": 0.001}",166.4738,256.3682,10.2633,9.8101,76.2,32.0,26.0,148737,
TCN,5161,3,Regularisation: is the model over-fitting the training weeks?,"{""L"": 288, ""batch"": 128, ""dropout"": 0.0, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.001}",159.6085,246.0994,11.3444,9.4055,29.7,21.0,15.0,37505,
TCN,5161,3,Regularisation: is the model over-fitting the training weeks?,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.001}",147.5762,227.3154,10.2632,8.6965,53.2,40.0,34.0,37505,
TCN,5161,4,Optimisation: check sensitivity to the learning rate,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.0003}",153.0714,233.4305,11.7842,9.0203,61.6,51.0,45.0,37505,
TCN,5161,4,Optimisation: check sensitivity to the learning rate,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003}",143.721,222.7347,10.1286,8.4693,42.9,27.0,21.0,37505,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": false, ""seed"": 42, ""units"": 128}",122.5923,188.4596,8.7636,7.2242,15.2,28.0,22.0,69249,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": false, ""seed"": 7, ""units"": 128}",110.7545,174.5133,8.1276,6.5266,8.5,18.0,12.0,69249,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": false, ""seed"": 123, ""units"": 128}",114.6734,173.9569,8.6916,6.7575,6.2,16.0,10.0,69249,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": true, ""seed"": 42, ""units"": 128}",95.2178,147.1369,7.2932,5.611,13.9,33.0,27.0,69249,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": true, ""seed"": 7, ""units"": 128}",96.1701,146.9899,7.3389,5.6672,17.9,40.0,34.0,69249,
LSTM,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""residual"": true, ""seed"": 123, ""units"": 128}",99.3361,153.6449,7.2392,5.8537,13.8,33.0,27.0,69249,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": false, ""seed"": 42}",133.0365,209.2337,9.7274,7.8396,59.4,21.0,15.0,37505,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": false, ""seed"": 7}",310.3187,454.0921,16.5725,18.2866,49.9,41.0,35.0,37505,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": false, ""seed"": 123}",200.2943,302.8684,11.2231,11.803,65.5,59.0,53.0,37505,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": true, ""seed"": 42}",98.8157,155.7075,7.3235,5.8231,38.9,25.0,19.0,37505,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": true, ""seed"": 7}",104.5817,160.4986,7.5747,6.1628,45.1,29.0,23.0,37505,
TCN,5161,5,Persistence beat the direct NNs (ACF lag-1 = 0.98): predict the change from the last value instead of the level; 3 seeds to measure run-to-run variance,"{""L"": 288, ""batch"": 128, ""dropout"": 0.2, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.003, ""residual"": true, ""seed"": 123}",97.7105,152.1665,7.3363,5.7579,46.7,35.0,29.0,37505,
